SessionId,Phase,Step,Time,LeftSimilarity,RightSimilarity
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,8.429,1.0000,0.8638
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,8.541,1.0000,0.8174
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,8.652,1.0000,0.8384
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,8.763,1.0000,0.8363
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,8.874,1.0000,0.8255
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,8.985,1.0000,0.8308
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,9.096,1.0000,0.8261
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,9.207,1.0000,0.8123
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,9.318,1.0000,0.8472
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,9.429,1.0000,0.7988
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,9.540,1.0000,0.7475
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,9.652,1.0000,0.6629
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,9.763,1.0000,0.6698
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,9.874,1.0000,0.7105
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,9.985,1.0000,0.8303
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,10.096,1.0000,0.8924
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,10.207,1.0000,0.8748
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,10.318,1.0000,0.8523
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,10.429,1.0000,0.8270
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,10.540,1.0000,0.8241
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,10.652,1.0000,0.7682
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,10.762,1.0000,0.7548
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,10.863,1.0000,0.7394
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,10.974,1.0000,0.7301
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,11.083,1.0000,0.7336
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,11.193,1.0000,0.7067
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,11.304,1.0000,0.6857
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,11.415,1.0000,0.6823
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,11.526,1.0000,0.6699
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,11.637,1.0000,0.6476
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,11.749,1.0000,0.6466
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,11.859,1.0000,0.6507
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,11.971,1.0000,0.6233
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,12.082,1.0000,0.6190
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,12.193,1.0000,0.6288
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,12.304,1.0000,0.6210
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,12.415,1.0000,0.6228
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,12.526,1.0000,0.6538
0f18367c-1d98-43b4-a8cf-144b1f5aac5d,전부,제한장벽확인,12.637,1.0000,0.6470
