FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
0,Left,0,0.0030,-0.0047,0.0646,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.050,-0.1990,0.2827,-0.1721,-0.0432,-0.2466,-0.1025,-0.9627
0,Left,2,0.0317,-0.0130,0.0330,-0.1596,0.3549,-0.5069,0.7692,0.050,,,,,,
0,Left,3,0.0000,0.0000,0.0325,0.1267,-0.0591,0.0828,0.9867,0.050,,,,,,
0,Left,4,0.0000,0.0000,0.0338,0.1633,0.0461,-0.0774,0.9825,0.050,,,,,,
0,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Left,6,0.0206,-0.0080,0.0357,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Left,7,0.0030,0.0007,0.0603,0.1435,-0.0497,-0.0292,0.9880,0.050,,,,,,
0,Left,8,0.0000,0.0000,0.0379,0.3108,0.0012,0.0262,0.9501,0.050,,,,,,
0,Left,9,0.0000,0.0000,0.0243,0.1844,-0.0226,0.0171,0.9824,0.050,,,,,,
0,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Left,11,0.0043,-0.0069,0.0335,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Left,12,-0.0026,0.0043,0.0621,0.2229,-0.0624,0.0193,0.9727,0.050,,,,,,
0,Left,13,0.0000,0.0000,0.0429,0.3226,-0.0005,0.0127,0.9464,0.050,,,,,,
0,Left,14,0.0000,0.0000,0.0275,0.1593,0.0064,0.0587,0.9855,0.050,,,,,,
0,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Left,17,-0.0025,-0.0005,0.0539,0.1969,-0.0816,0.0650,0.9749,0.050,,,,,,
0,Left,18,0.0000,0.0000,0.0390,0.3395,0.0086,0.0401,0.9397,0.050,,,,,,
0,Left,19,0.0000,0.0000,0.0266,0.2004,0.0296,0.0140,0.9792,0.050,,,,,,
0,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9680,0.050,,,,,,
0,Left,22,0.0000,0.0000,0.0457,0.1340,0.0139,-0.0883,0.9869,0.050,,,,,,
0,Left,23,0.0000,0.0000,0.0307,0.3492,-0.0261,0.0670,0.9343,0.050,,,,,,
0,Left,24,0.0000,0.0000,0.0203,0.1780,0.0483,-0.0013,0.9829,0.050,,,,,,
0,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Right,0,-0.0028,-0.0050,0.0649,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.050,0.0460,0.5632,-0.1194,-0.0239,-0.4460,0.3449,0.8256
0,Right,2,-0.0306,-0.0154,0.0342,-0.1021,-0.3690,0.5571,0.7369,0.050,,,,,,
0,Right,3,0.0000,0.0000,0.0325,0.1298,0.0588,-0.0828,0.9863,0.050,,,,,,
0,Right,4,0.0000,0.0000,0.0338,0.2300,-0.0398,0.0748,0.9695,0.050,,,,,,
0,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Right,6,-0.0200,-0.0092,0.0363,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Right,7,-0.0035,0.0019,0.0597,0.2597,0.0552,0.0262,0.9638,0.050,,,,,,
0,Right,8,0.0000,0.0000,0.0379,0.5419,-0.0080,-0.0245,0.8400,0.050,,,,,,
0,Right,9,0.0000,0.0000,0.0243,0.3183,0.0194,-0.0172,0.9476,0.050,,,,,,
0,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Right,11,-0.0038,-0.0075,0.0341,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Right,12,0.0021,0.0049,0.0615,0.3511,0.0663,-0.0291,0.9335,0.050,,,,,,
0,Right,13,0.0000,0.0000,0.0429,0.5522,-0.0026,-0.0129,0.8336,0.050,,,,,,
0,Right,14,0.0000,0.0000,0.0276,0.3843,-0.0163,-0.0779,0.9198,0.050,,,,,,
0,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Right,17,0.0025,-0.0005,0.0539,0.3168,0.0887,-0.0780,0.9411,0.050,,,,,,
0,Right,18,0.0000,0.0000,0.0390,0.5778,-0.0169,-0.0419,0.8149,0.050,,,,,,
0,Right,19,0.0000,0.0000,0.0266,0.4109,-0.0286,-0.0235,0.9109,0.050,,,,,,
0,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.050,,,,,,
0,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9680,0.050,,,,,,
0,Right,22,0.0000,0.0000,0.0457,0.2273,0.0302,0.0770,0.9703,0.050,,,,,,
