scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,2nd rib 교정,,시술하기,3,2,0,"환자는 환측 손목을 배측 굴곡시키고, 환측 팔 을 외전과 외회전을 하면서 정중신경 경막가동술을 시행한다. 시술자는 경막가동술 이후에 환측 늑골 제한이 이완되었음을 확인한다
손목의 배측 굴곡, 팔의 외전 외회전은 환자가 능동적으로 취해야하는 동작인지
경막가동술 명칭에 해당되는 동작이 무엇인지 / 늑골 제한의 이완을 확인하는 동작이 무엇인지 명확한 정의 필요",내용의 정의에 따라 녹화에 필요한 영상과 구간의 변경,,,,,,,,,,,
1,2nd rib 교정,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1st rib 교정,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",,,,,,,,,,,,
1,1st rib 교정,진단,진단,1,1,0,진단 과정 필요?,,,,,,,,,,,,
1,1st rib 교정,,가이드,0,1,0,[시작] 버튼을 눌러 1st rib 교정기법를 진행하세요,,,,,,,,,,,,
1,1st rib 교정,,위치하기,2,1,0,환자의 두방에서 족방을 향하여 앉으세요 (실습 진입시 환자의 머리쪽에서 시작할 예정이라 별도 안내 필요 없을 경우 삭제),시술자의 위치를 설명하는 영상,,,,,,,,,,,
1,1st rib 교정,,위치하기,2,2,0,환측 제1늑골 전상방(쇄골 상와 부위)에 검지(제2지)의 측면 또는 중지를 접촉합니다.,주동수의 위치를 보여주는 영상,,,,,,,,,,,
1,1st rib 교정,,위치하기,2,3,0,환자의 반대측 후두부 및 측두부를 받쳐 경추의 움직임을 통제합니다.,보조수의 위치를 보여주는 영상,,,,,,,,,,,
1,1st rib 교정,,시술하기,3,1,0,보조수로 환자의 경추를 환측으로 가볍게 측굴시켜 사각근 등 주변 근육을 이완시킵니다. ,보조수의 동작을 설명하는 영상,,,,,,,,,,,
1,1st rib 교정,,시술하기,3,2,0,환자가 숨을 내쉴 때(호기 시) 주동수를 이용하여 제1늑골을 교정 방향(후하내측)으로 부드럽고 지속적인 압박(관절가동)을 가하며 변위를 해소합니다,주동수의 동작을 설명하는 영상,,,,,,,,,,,
1,1st rib 교정,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,OM,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",,,,,,,,,,,,
1,OM,,위치하기,2,1,0,환자의 두방에서 족방을 향하여 앉으세요 (실습 진입시 환자의 머리쪽에서 시작할 예정이라 별도 안내 필요 없을 경우 삭제),시술자의 위치를 설명하는 영상,,,,,,,,,,,
1,OM,,위치하기,2,2,0,관관골아치 (zygomatic arch)와 유양돌기 (mastoid process) 를 접촉,주동수의 위치를 보여주는 영상,,,,,,,,,,,
1,OM,,위치하기,2,3,0,후두골(occipital bone)을 접촉,보조수의 위치를 보여주는 영상,,,,,,,,,,,
1,OM,진단,진단,1,1,0,양손의 손바닥으로 후두골을 부드럽게 받쳐주고 손가락의 관절수용기를 이용하여 내재적 움직 임을 감지한다.,,,,,,,,,,,,
1,OM,,시술하기,3,1,0,시술자는 환자의 두방에 좌위로 위치하여 기능장애가 일어난 대측 손을 보조수로 사용하여 후두골을 가로질러 손바닥은 후두골을 지지하고 지복으로는 후두유양돌기 봉합의 내측에 대고 굴곡을 유도한다. ,보조수의 동작을 설명하는 영상,,,,,,,,,,,
1,OM,,시술하기,3,2,0,"주동수인 동측 손의 1,2,3지를 이용하여 측두골의 관골아치를 파지하여 외회전을 유도하고 4; 5지를 이용하여 유양돌기를 외방에서 내방으로 밀어주면서 더 강한 힘을 가한다. ",주동수의 동작을 설명하는 영상,,,,,,,,,,,
2,OM,,시술하기,3,3,0,이 상태를 유지하면서 환자에게 크게 호흡을 3회 정도 하게 한다.,,,,,,,,,,,,
3,OM,,재평가,4,1,0,재평가는 시술과 같은 과정을 거치는지? 아니면 진단과 같은 방법인지?,,,,,,,,,,,,
1,OM,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,PM,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",,,,,,,,,,,,
1,PM,,위치하기,2,1,0,두방에서 족방을 바라보면서 사선방향의 좌위로 위치한다. (실습 진입시 환자의 머리쪽에서 시작할 예정이라 별도 안내 필요 없을 경우 삭제),시술자의 위치를 설명하는 영상,,,,,,,,,,,
1,PM,,위치하기,2,2,0,두정골을 접촉,주동수의 위치를 보여주는 영상,,,,,,,,,,,
1,PM,,위치하기,2,3,0,유양돌기를 접촉,보조수의 위치를 보여주는 영상,,,,,,,,,,,
